"Permission","Code","Manifest"
"android.permission.GET_ACCOUNTS","1","1"
"android.permission.RECORD_AUDIO","1","1"
"android.permission.BROADCAST_STICKY","1","1"
"android.permission.ACCESS_FINE_LOCATION","1","1"
"android.permission.ACCESS_COARSE_LOCATION","1","1"
"android.permission.INTERNET","1","1"
"android.permission.CAMERA","1","1"
"android.permission.MODIFY_AUDIO_SETTINGS","1","1"
"android.permission.BLUETOOTH","1","1"
"android.permission.READ_PHONE_STATE","1","1"
"android.permission.READ_SYNC_SETTINGS","1","0"
"android.permission.VIBRATE","1","0"
"android.permission.READ_PROFILE","1","0"
"android.permission.ACCESS_NETWORK_STATE","1","0"
"android.permission.WAKE_LOCK","1","0"
"android.permission.ACCESS_WIFI_STATE","1","0"
"android.permission.WRITE_SETTINGS","1","0"
"android.permission.FLASHLIGHT","0","1"
"android.permission.STORAGE","0","1"
"android.permission.WRITE_EXTERNAL_STORAGE","0","1"
"com.android.vending.CHECK_LICENSE","0","1"
