"Permission","Code","Manifest"
"android.permission.DISABLE_KEYGUARD","1","1"
"android.permission.READ_SYNC_SETTINGS","1","1"
"android.permission.GET_ACCOUNTS","1","1"
"android.permission.VIBRATE","1","1"
"android.permission.REORDER_TASKS","1","1"
"android.permission.READ_PROFILE","1","1"
"android.permission.BROADCAST_STICKY","1","1"
"android.permission.WRITE_SYNC_SETTINGS","1","1"
"android.permission.ACCESS_FINE_LOCATION","1","1"
"android.permission.KILL_BACKGROUND_PROCESSES","1","1"
"android.permission.ACCESS_COARSE_LOCATION","1","1"
"android.permission.INTERNET","1","1"
"android.permission.ACCESS_NETWORK_STATE","1","1"
"android.permission.GET_TASKS","1","1"
"android.permission.WAKE_LOCK","1","1"
"android.permission.ACCESS_WIFI_STATE","1","1"
"android.permission.MODIFY_AUDIO_SETTINGS","1","1"
"android.permission.BLUETOOTH","1","1"
"android.permission.WRITE_SETTINGS","1","1"
"android.permission.READ_PHONE_STATE","1","1"
"android.permission.MANAGE_ACCOUNTS","1","1"
"org.adw.launcher_donut.permission.READ_SETTINGS","0","1"
"android.permission.DOWNLOAD_WITHOUT_NOTIFICATION","0","1"
"android.permission.REQUEST_DELETE_PACKAGES","0","1"
"android.permission.READ_PHONE_NUMBERS","0","1"
"com.samsung.android.providers.context.permission.READ_RECORD_AUDIO","0","1"
"com.actionlauncher.playstore.permission.READ_SETTINGS","0","1"
"android.permission.SET_TIME_ZONE","0","1"
"com.android.browser.permission.WRITE_HISTORY_BOOKMARKS","0","1"
"com.sec.android.provider.badge.permission.WRITE","0","1"
"android.permission.SUBSCRIBED_FEEDS_READ","0","1"
"org.adwfreak.launcher.permission.READ_SETTINGS","0","1"
"com.anddoes.launcher.permission.UPDATE_COUNT","0","1"
"com.ebproductions.android.launcher.permission.WRITE_SETTINGS","0","1"
"android.permission.PACKAGE_USAGE_STATS","0","1"
"android.permission.READ_APP_BADGE","0","1"
"com.lge.launcher.permission.READ_SETTINGS","0","1"
"android.permission.GET_PACKAGE_SIZE","0","1"
"com.android.alarm.permission.SET_ALARM","0","1"
"android.permission.SET_WALLPAPER_HINTS","0","1"
"android.permission.DEVICE_POWER","0","1"
"com.sonymobile.home.permission.PROVIDER_INSERT_BADGE","0","1"
"android.permission.SET_WALLPAPER","0","1"
"com.huawei.launcher2.permission.WRITE_SETTINGS","0","1"
"com.oppo.launcher.permission.READ_SETTINGS","0","1"
"android.permission.ACCESS_DOWNLOAD_MANAGER","0","1"
"android.permission.READ_CONTACTS","0","1"
"android.permission.READ_LOGS","0","1"
"com.sonyericsson.home.permission.BROADCAST_BADGE","0","1"
"com.htc.launcher.permission.READ_SETTINGS","0","1"
"android.permission.AUTHENTICATE_ACCOUNTS","0","1"
"android.permission.READ_CELL_BROADCASTS","0","1"
"android.permission.RECEIVE_BOOT_COMPLETED","0","1"
"com.android.mylauncher.permission.WRITE_SETTINGS","0","1"
"android.permission.SYSTEM_OVERLAY_WINDOW","0","1"
"com.android.launcher.permission.UNINSTALL_SHORTCUT","0","1"
"android.permission.BIND_DIRECTORY_SEARCH","0","1"
"com.huawei.permission.app.DOWNLOAD","0","1"
"android.permission.USE_FINGERPRINT","0","1"
"org.adw.launcher.permission.READ_SETTINGS","0","1"
