"Permission","Code","Manifest"
"android.permission.ACCESS_FINE_LOCATION","1","1"
"android.permission.ACCESS_COARSE_LOCATION","1","1"
"android.permission.INTERNET","1","1"
"android.permission.ACCESS_NETWORK_STATE","1","1"
"android.permission.WAKE_LOCK","1","1"
"android.permission.CAMERA","1","1"
"android.permission.READ_PROFILE","1","0"
"android.permission.BLUETOOTH","1","0"
"android.permission.WRITE_SETTINGS","1","0"
"android.permission.FLASHLIGHT","0","1"
"android.permission.ACCESS_MEDIA_LOCATION","0","1"
"android.permission.VIBRATE","0","1"
"android.permission.RECORD_AUDIO","0","1"
"com.android.vending.CHECK_LICENSE","0","1"
"android.permission.WRITE_EXTERNAL_STORAGE","0","1"
"android.permission.READ_EXTERNAL_STORAGE","0","1"
