"Permission","Code","Manifest"
"android.permission.INTERNET","1","1"
"android.permission.VIBRATE","1","1"
"android.permission.ACCESS_NETWORK_STATE","1","1"
"android.permission.WAKE_LOCK","1","1"
"android.permission.BROADCAST_STICKY","1","0"
"android.permission.ACCESS_COARSE_LOCATION","1","0"
"android.permission.GET_TASKS","1","0"
"android.permission.READ_PROFILE","1","0"
"android.permission.BLUETOOTH","1","0"
"android.permission.WRITE_SETTINGS","1","0"
"android.permission.MANAGE_ACCOUNTS","1","0"
"com.google.android.gms.permission.AD_ID","0","1"
"com.trustyourself.permission.SEND","0","1"
"com.trustyourself.permission.RECEIVE","0","1"
"android.permission.FOREGROUND_SERVICE","0","1"
"com.android.vending.BILLING","0","1"
"android.permission.WRITE_EXTERNAL_STORAGE","0","1"
"com.google.android.c2dm.permission.SEND","0","1"
"com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE","0","1"
"android.permission.READ_EXTERNAL_STORAGE","0","1"
"com.google.android.c2dm.permission.RECEIVE","0","1"
"android.permission.ACCESS_DOWNLOAD_MANAGER","0","1"
