"Permission","Code","Manifest"
"android.permission.ACCESS_FINE_LOCATION","1","1"
"android.permission.ACCESS_COARSE_LOCATION","1","1"
"android.permission.INTERNET","1","1"
"android.permission.ACCESS_NETWORK_STATE","1","1"
"android.permission.WAKE_LOCK","1","1"
"android.permission.ACCESS_WIFI_STATE","1","1"
"android.permission.READ_PHONE_STATE","1","1"
"android.permission.VIBRATE","1","0"
"android.permission.READ_PROFILE","1","0"
"android.permission.GET_TASKS","1","0"
"android.permission.BLUETOOTH","1","0"
"android.permission.WRITE_SETTINGS","1","0"
"android.permission.MANAGE_ACCOUNTS","1","0"
"android.permission.READ_CONTACTS","0","1"
"android.permission.DOWNLOAD_WITHOUT_NOTIFICATION","0","1"
"android.permission.FOREGROUND_SERVICE","0","1"
"android.permission.RECEIVE_BOOT_COMPLETED","0","1"
"android.permission.WRITE_EXTERNAL_STORAGE","0","1"
"android.permission.USE_CREDENTIALS","0","1"
"android.permission.CHANGE_NETWORK_STATE","0","1"
"com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE","0","1"
"android.permission.CAMERA","0","1"
"com.google.android.c2dm.permission.RECEIVE","0","1"
