"Permission","Code","Manifest"
"android.permission.GET_ACCOUNTS","1","1"
"android.permission.AUTHENTICATE_ACCOUNTS","1","1"
"android.permission.VIBRATE","1","1"
"android.permission.REORDER_TASKS","1","1"
"android.permission.WRITE_SYNC_SETTINGS","1","1"
"android.permission.ACCESS_FINE_LOCATION","1","1"
"android.permission.INTERNET","1","1"
"android.permission.ACCESS_NETWORK_STATE","1","1"
"android.permission.GET_TASKS","1","1"
"android.permission.WAKE_LOCK","1","1"
"android.permission.ACCESS_WIFI_STATE","1","1"
"android.permission.MODIFY_AUDIO_SETTINGS","1","1"
"android.permission.CAMERA","1","1"
"android.permission.BLUETOOTH","1","1"
"android.permission.WRITE_SETTINGS","1","1"
"android.permission.READ_PHONE_STATE","1","1"
"android.permission.READ_PROFILE","1","0"
"android.permission.BROADCAST_STICKY","1","0"
"android.permission.ACCESS_COARSE_LOCATION","1","0"
"android.permission.CHANGE_WIFI_STATE","1","0"
"android.permission.MANAGE_ACCOUNTS","1","0"
"android.permission.WRITE_CALENDAR","0","1"
"android.permission.READ_CALENDAR","0","1"
"com.sec.android.provider.badge.permission.WRITE","0","1"
"com.vivo.notification.permission.BADGE_ICON","0","1"
"com.anddoes.launcher.permission.UPDATE_COUNT","0","1"
"com.google.android.providers.gsf.permission.WRITE_GSERVICES","0","1"
"android.permission.POST_NOTIFICATIONS","0","1"
"com.google.android.c2dm.permission.RECEIVE","0","1"
"com.oppo.launcher.permission.WRITE_SETTINGS","0","1"
"android.permission.READ_APP_BADGE","0","1"
"com.samsung.android.sdk.professionalaudio.permission.START_MONITOR_SERVICE","0","1"
"android.permission.STORAGE","0","1"
"com.android.vending.BILLING","0","1"
"android.permission.RECORD_AUDIO","0","1"
"com.majeur.launcher.permission.UPDATE_BADGE","0","1"
"com.sonymobile.home.permission.PROVIDER_INSERT_BADGE","0","1"
"com.starmakerinteractive.thevoice.permission.C2D_MESSAGE","0","1"
"me.everything.badger.permission.BADGE_COUNT_WRITE","0","1"
"com.oppo.launcher.permission.READ_SETTINGS","0","1"
"android.permission.READ_CONTACTS","0","1"
"com.google.android.gms.permission.AD_ID","0","1"
"android.permission.READ_SYNC_SETTINGS","0","1"
"com.sonyericsson.home.permission.BROADCAST_BADGE","0","1"
"com.htc.launcher.permission.READ_SETTINGS","0","1"
"android.permission.FOREGROUND_SERVICE","0","1"
"com.samsung.android.providers.context.permission.WRITE_USE_APP_FEATURE_SURVEY","0","1"
"android.permission.SYSTEM_ALERT_WINDOW","0","1"
"android.permission.RECEIVE_BOOT_COMPLETED","0","1"
"android.permission.WRITE_EXTERNAL_STORAGE","0","1"
"com.huawei.android.launcher.permission.WRITE_SETTINGS","0","1"
"android.permission.ACCESS_NOTIFICATION_POLICY","0","1"
"me.everything.badger.permission.BADGE_COUNT_READ","0","1"
"com.sec.android.provider.badge.permission.READ","0","1"
"android.permission.REQUEST_IGNORE_BATTERY_OPTIMIZATIONS","0","1"
"com.google.android.providers.gsf.permission.READ_GSERVICES","0","1"
"com.huawei.android.launcher.permission.CHANGE_BADGE","0","1"
"com.htc.launcher.permission.UPDATE_SHORTCUT","0","1"
"com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE","0","1"
"com.huawei.android.launcher.permission.READ_SETTINGS","0","1"
"android.permission.READ_EXTERNAL_STORAGE","0","1"
